Id,Bahasa
Profile.WILL_YOU_CHANGE_PET_NAME,APAKAH ANDA AKAN MENGGANTI NAMA PELIHARAAN ANDA
Profile.FOR,UNTUK
Profile.PLEASE_SUBMIT_PET_NAME,MOHON ISI NAMA BARU PELIHARAAN ANDA
Profile.CHANGE_USERNAME,GANTI NAMA PENGGUNA
Profile.PLEASE_ENTER_NEW_USERNAME,MOHON MASUKKAN NAMA PENGGUNA BARU.
Profile.CHANGE_USERNAME_ONLY_ONCE,ANDA HANYA DAPAT MELAKUKAN INI SEKALI SAJA.
Profile.CHANGE_PASSWORD,GANTI KATA SANDI
Profile.ENTER_CURRENT_PASSWORD,MASUKKAN KATA SANDI ANDA SAAT INI
Profile.PLEASE_ENTER_NEW_PASSWORD,MOHON MASUKKAN KATA SANDI ANDA SEKARANG
Profile.ENTER_NEW_PASSWORD,MASUKKAN KATA SANDI BARU ANDA
Profile.CONFIRM_PASSWORD,KONFIRMASI KATA SANDI BARU ANDA
Profile.PHONE_EMAIL,PHONE AND EMAIL
Profile.YOUR_MAIL_ADDRESS,TYPE YOUR EMAIL ADDRESS
Profile.YOUR_PHONE_NUMBER,TYPE YOUR PHONE NUMBER
Profile.SHIPPING_ADDRESS,ALAMAT PENGIRIMAN
Profile.COMPLETE_NAME,COMPLETE NAME
Profile.PROVINCE,PROVINCE
Profile.CITY,CITY
Profile.STREET_ADDRESS,STREET ADDRESS
Profile.SUCCESS_UPDATE,BERHASIL MEMPERBARUI DATA
Landing.CURRENT_AUCTION,LELANG SAAT INI
AuctionLobby.OPEN_BID,Tawaran Awal
AuctionLobby.NEXT_INCREMENT,Tawaran Selanjutnya
AuctionLobby.MAX_PRICE,Harga Maksimal
AuctionLobby.CLAIM,KLAIM
AuctionLobby.JOIN_FOR,BERPARTISIPASI
AuctionLobby.AUCTION_DATE,TANGGAL LELANG
AuctionLobby.WON_PRICE,HARGA MENANG
AuctionLobby.WINNER_OF,PEMENANG DARI
AuctionLobby.PARTICIPANTS,PESERTA
AuctionRoom.AUCTION_ROOM,RUANG LELANG
AuctionRoom.CURRENT_PRICE,HARGA SEKARANG
AuctionRoom.NEXT_INCREMENT,TAWARAN SELANJUTNYA
AuctionRoom.MAX_PRICE,HARGA MAKSIMAL
AuctionRoom.NUMBER_BIDDERS,JUMLAH PENAWAR\nPUTARAN SEBELUMNYA
AuctionRoom.BID,TAWAR
AuctionRoom.DETAILS,DETAIL
AuctionRoom.CATEGORY,KATEGORI
AuctionRoom.DIMENSION,DIMENSI
AuctionRoom.WEIGHT,BERAT
ClaimOTP.CLAIM_CONFIRMATION,KONFIRMASI KLAIM
ClaimOTP.PLEASE_ENTER_OTP,MOHON MASUKKAN OTP ANDA UNTUK VERIFIKASI
ClaimOTP.DIDNT_RECEIVE,TIDAK MENERIMA OTP ANDA? KIRIM BARU
ClaimOTP.OTP_EXPIRE,OTP ANDA AKAN KADALUARSA DALAM
PaymentForm.PAYMENT_FORM,FORMULIR PEMBAYARAN
PaymentForm.PLEASE_SELECT,MOHON PILIH METODE PEMBAYARAN ANDA
PaymentForm.PLEASE_SETTLE,MOHON SELESAIKAN PEMBAYARAN ANDA DALAM WAKTU 1X24 JAM
PaymentForm.TRANSACTION_EXPIRED,ATAU TRANSAKSI ANDA AKAN KADALUARSA
PaymentForm.ITEM_PRICE,HARGA BARANG : 
PaymentForm.ADMIN_FEE,BIAYA ADMIN : 
PaymentForm.PAYMENT_FEE,BIAYA PEMBAYARAN : 
PaymentForm.TAX,PAJAK : 
PaymentForm.SHIPPING_HANDLING,PENGIRIMAN & PENANGANAN : 
PaymentForm.GRAND_TOTAL,JUMLAH TOTAL : 
PaymentForm.SENT_TO,KIRIM KE : 
PaymentForm.EDIT,UBAH
PaymentForm.CHECKOUT,KIRIM
Game.ENTERING,ANDA MEMASUKI
Game.ROUND,RONDE
Game.BID_ROYALE,BID ROYALE
Game.BID_RUMBLE,BID RUMBLE
Game.TRAINING,LATIHAN
Game.REMAINING_PLAYERS,PEMAIN TERSISA
Game.READY,BERSEDIA!
Game.GET_SET,SIAP!
Game.GO,MULAI!
Game.CHOOSE_ONE,PILIH SATU
Game.OPEN,BUKA
Game.MEMORY_GAME,PERMAINAN INGATAN
Game.COLOR_PAIRING,PERSAMAAN WARNA
Game.TYPE_THE_CODE,KETIK KODENYA
Game.SEQUENCE,URUTAN
Game.YOUR_SCORE,NILAI ANDA
Game.YOUR_SCORE_IS,NILAI ANDA ADALAH
Game.YOUR_RANK_IS,PERINGKAT ANDA ADALAH
Game.YOU_PASSED,ANDA LOLOS!
Game.YOU_FAILED,ANDA GAGAL!
Game.SCOREBOARD,PAPAN NILAI
Game.NAME,NAMA
Game.TIME,WAKTU
Game.RESULT,HASIL
Game.PASSED,LOLOS
Game.NEXT,LANJUT
Game.ERROR,GAGAL MENGHUBUNGI SERVER
Game.CONGRATULATIONS,SELAMAT!
Game.TIMES_UP,WAKTU HABIS!
Game.WAITING,MENUNGGU SERVER
Game.MEMORY_GAME_DESC,Pasangkan dua peliharaan yang sama. Coba ingat-ingat dimana lokasi mereka bersembunyi.
Game.COLOR_PAIRING_DESC,Rubah semua kotak menjadi satu warna yang sama. Antara biru atau merah tidak masalah.
Game.TYPE_THE_CODE_DESC,Ketik sesuai urutan alfabet yang tertera. Jangan sampai salah atau kamu harus gunakan waktu untuk hapus mundur alfabetnya.
Game.SEQUENCE_DESC,Coba berhitung dari angka terkecil ke angka terbesar. Agar tambah susah kita pakai angka negatif pula.
Game.BID_ROYALE_DESC,Ayo uji keberuntunganmu! Pilih satu kotak yang ada harta di dalamnya. Kesempatannya 50-50.
ShopPage.STARS,BINTANG
ShopPage.PETS,PELIHARAAN
EditPet.CONGRATULATIONS,SELAMAT!\nANDA BARU SAJA MEMBELI PELIHARAAN BARU.\nSEBAIKANYA ANDA SEGERA MEMBERINYA NAMA.
EditPet.INPUT_NAME,MASUKKAN NAMA PELIHARAAN
News.FIND_MORE,LEBIH LANJUT
Winner.WINNER,PEMENANG : 
Winner.GAME_TYPE,TIPE PERMAINAN : 
Winner.PARTICIPANTS,PESERTA : 
Winner.ITEM,BARANG : 
Winner.WIN_PRICE,HARGA MENANG : 
Train.DESCRIPTION,Latihan bersama dengan Putri Justine untuk meningkatkan kemungkinan kamu menang di pertandingan akbar BidRumble.\nPilih tipe pertandingan yang ingin kamu latih.
Settings.SETTINGS,PENGATURAN
Settings.NOTIFICATIONS,NOTIFIKASI
Settings.SOUND,SUARA
Settings.LANGUAGE,BAHASA
Settings.NEWSLETTER,BERITA
Settings.SUBSCRIBED,LANGGANAN
Settings.UNSUBSCRIBED,BERHENTI
Settings.PRIVACY_POLICY,KEBIJAKAN PRIVASI
Settings.ABOUT_US,TENTANG KAMI
Settings.TERMS_CONDITIONS,SYARAT & KETENTUAN
Settings.TUTORIAL,PANDUAN
Settings.LOGOUT,KELUAR
Error.USER_NOT_VERIFIED,MOHON VERIFIKASI AKUN ANDA!
Error.USER_NOT_FOUND,AKUN PENGGUNA TIDAK DITEMUKAN!
Error.WRONG_CREDENTIALS,NAMA PENGGUNA ATAU KATA SANDI SALAH!
Error.USERNAME_EXISTS,NAMA PENGGUNA SUDAH DIPAKAI!
Error.EMAIL_ALREADY_REGISTERED,EMAIL SUDAH TERDAFTAR!
Error.BAD_NAME,NAMA MENGANDUNG KATA-KATA TERLARANG!
Error.OTP_INVALID,OTP SALAH ATAU TIDAK BERLAKU!
Error.ACCOUNT_ALREADY_VERIFIED,AKUN SUDAH DIVERIFIKASI!
Error.OLD_PASSWORD_INVALID,PASSWORD LAMA SALAH!
Error.PASSWORD_NOT_MATCH,MOHON KONFIRMASI DENGAN KATA SANDI YANG SAMA!
Error.USER_ALREADY_ACTIVE,AKUN SUDAH DIVERIFIKASI!
Error.USER_NOT_FOUND,NAMA PENGGUNA ATAU EMAIL TIDAK DITEMUKAN!
Error.USERNAME_REQUIRED,MOHON MASUKKAN NAMA PENGGUNA!
Error.ONLY_ONCE_UPDATE,ANDA SUDAH PERNAH MENGGANTI NAMA PENGGUNA ANDA!
Error.PET_NOT_FOUND,TIDAK ADA PELIHARAAN DENGAN ID TERSEBUT!
Error.PET_ALREADY_BOUGHT,PELIHARAAN SUDAH DIMILIKI!
Error.NO_STARS,STARS TIDAK MENCUKUPI!
Error.TRAINING_NOT_FINISH,MOHON SELESAIKAN TERLEBIH DAHULU LATIHAN PELIHARAAN ANDA!
Error.HAVE_NO_PET,ANDA TIDAK MEMILIKI PELIHARAAN!
Error.TRAINING_CLAIMED,EXP LATIHAN SUDAH DIKLAIM!
Error.TRAINING_FINISH,LATIHAN SUDAH SELESAI!
Error.AUCTION_NOT_FOUND,TIDAK ADA LELANG DENGAN ID TERSEBUT!
Error.USER_NOT_WINNER,ANDA BUKANLAH PEMENANG LELANG INI!
Error.AUCTION_FINISHED,LELANG SUDAH SELESAI!
Error.GAME_ROUND_NOT_FOUND,RONDE PERMAINAN SALAH!
Error.RESULT_NOT_SUBMITTED,GAGAL MENGIRIM HASIL!
Error.UNAUTHORIZED,SESI ANDA SUDAH BERAKHIR! \nAPLIKASI AKAN DIULANG
Error.CITY_IS_REQUIRED,MOHON LENGKAPI PROFIL ANDA\nSEBELUM KLAIM!
Error.REQUEST_TIME_OUT,GAGAL MENGHUBUNGI SERVER\nMOHON CEK KONEKSI INTERNET ANDA
